param	RSP K_mean	RSP K_sigma	Heat K_mean	Heat K_sigma	logHeat K_mean	logHeat K_sigma	Comm K_mean	Comm K_sigma	logFor K_mean	logFor K_sigma	For K_mean	For K_sigma	FE K_mean	FE K_sigma	Walk K_mean	Walk K_sigma	logComm K_mean	logComm K_sigma	pWalk K_mean	pWalk K_sigma	SCCT K_mean	SCCT K_sigma	SCT K_mean	SCT K_sigma	SP-CT K_mean	SP-CT K_sigma	
0.4200000000000001	0.45121608775137106	0.019089519298112523	0.34243071297989025	0.14956328004356859	0.34243071297989025	0.14956328004356859	0.45076855575868363	0.010935721236568484	0.5511210237659963	0.09460328276294352	0.19315685557586837	0.00565117013180224	0.5420826325411334	0.03733390899355637	0.5820051188299816	0.05386024782403292	0.7320687385740402	0.06467491512984558	0.5667495429616087	0.05794963631857174	0.4333981718464351	0.179482689400337	0.19745667276051188	0.02383861328961238	0.5127166361974406	0.043689710976329024	
0.4400000000000001	0.4445776965265082	0.029543940152490893	0.3635173674588665	0.167877854728964	0.3635173674588665	0.167877854728964	0.44968921389396704	0.011609106215319472	0.5821586837294332	0.06745436081324531	0.19315685557586837	0.00565117013180224	0.5320614259597806	0.042329467474364335	0.5908636197440584	0.06001697970690831	0.724017550274223	0.07661892013961866	0.5761872029250457	0.05515881002492657	0.4203583180987202	0.1558530014149829	0.220526508226691	0.09883065129519326	0.5205177330895795	0.04891098216090029	
0.46000000000000013	0.448254478976234	0.027321880471863715	0.35113564899451544	0.16119831149283023	0.35113564899451544	0.16119831149283023	0.44968921389396704	0.011609106215319472	0.5449126142595978	0.07164225225231866	0.19315685557586837	0.00565117013180224	0.5442764168190127	0.0551876267609167	0.5714925045703838	0.054209042068995954	0.7277382084095063	0.08212176910141086	0.5695926873857404	0.056605048775221274	0.4070946983546617	0.1659352888063734	0.20869762340036563	0.06938696452309981	0.5055341864716636	0.04808644404006293	
0.48000000000000015	0.45119414990859225	0.01637221049805479	0.33501133455210236	0.14341433405729895	0.33501133455210236	0.14341433405729895	0.44968921389396704	0.011609106215319472	0.5438595978062157	0.07429787331225504	0.19315685557586837	0.00565117013180224	0.5584	0.06682146302812401	0.5880862888482632	0.06553387048825225	0.7340475319926874	0.055031792085085234	0.5758976234003655	0.06208293226990999	0.4144307129798903	0.16785777734570032	0.22190420475319925	0.09340124524432268	0.511834734917733	0.043023430722207136	
0.5000000000000001	0.4508738574040219	0.025546737228353607	0.34092577696526505	0.13215358614293418	0.34092577696526505	0.13215358614293418	0.44968921389396704	0.011609106215319472	0.52592760511883	0.08554288112497202	0.19315685557586837	0.00565117013180224	0.5429645338208409	0.05186571750356421	0.5958654478976233	0.05954549200692728	0.7271458866544789	0.06700977219454701	0.5822595978062156	0.05964989144033525	0.40830566727605117	0.15234534844893774	0.23876563071297988	0.13256442556480394	0.49758391224862886	0.0471858073941652	
0.5200000000000001	0.4552702010968921	0.014961535059085956	0.3646405850091407	0.1426022494753659	0.3646405850091407	0.1426022494753659	0.44968921389396704	0.011609106215319472	0.5250193784277879	0.06304796707021262	0.19315685557586837	0.00565117013180224	0.5590098720292505	0.0508849283929471	0.5898676416819012	0.06021973206957028	0.7270230347349177	0.0752815694559987	0.5911180987202924	0.05971689473523674	0.42964241316270557	0.16549002851213043	0.22174625228519193	0.09233491998013103	0.5053104204753198	0.04819360854957421	
0.5400000000000001	0.4498866544789762	0.02943294309829758	0.3613104204753199	0.14776379755808716	0.3613104204753199	0.14776379755808716	0.44968921389396704	0.011609106215319472	0.5223956124314442	0.08799125506977545	0.19315685557586837	0.00565117013180224	0.5449213893967092	0.07004560304368505	0.5915656307129799	0.06776033676178896	0.7297828153564899	0.07352877128133946	0.5827948811700182	0.06041810049900926	0.40130310786106027	0.1588567052321325	0.22227276051188297	0.09440499081283933	0.5059422303473492	0.04401583740004437	
0.5600000000000002	0.45287458866544783	0.022310645893224502	0.3608365630712979	0.14606989934796008	0.3608365630712979	0.14606989934796008	0.44968921389396704	0.011609106215319472	0.5029235831809872	0.0709704664025161	0.19315685557586837	0.00565117013180224	0.5576672760511883	0.06226095763356974	0.5695707495429615	0.0661117475608268	0.7370091407678244	0.058800674536574005	0.5687546617915905	0.053669682937374084	0.4186252285191956	0.1749894086592676	0.22222010968921388	0.09417495245624989	0.5112819012797075	0.05692253843975158	
0.5800000000000002	0.45578354661791587	0.026224671661265804	0.36353491773308955	0.1472762647753017	0.36353491773308955	0.1472762647753017	0.44968921389396704	0.011609106215319472	0.5287224862888482	0.08153690811531383	0.19315685557586837	0.00565117013180224	0.5661396709323583	0.05491386741896843	0.5871166361974405	0.062188200581853766	0.7209813528336381	0.06775632253700996	0.5627042047531993	0.05039266141933149	0.4049886654478976	0.1660676136575499	0.24331992687385737	0.12857208935963224	0.49875978062157217	0.05122204306994341	
0.6000000000000002	0.46131188299817183	0.021606280537898998	0.35652358318098715	0.1386240011136195	0.35652358318098715	0.1386240011136195	0.44968921389396704	0.011609106215319472	0.5283890310786106	0.07586607198995336	0.19315685557586837	0.00565117013180224	0.5840058500914076	0.049368424250004386	0.5981645338208409	0.0726538426939423	0.7125001828153564	0.0655530683995363	0.5657009140767824	0.06323256451537232	0.43417477148080436	0.1691382813039688	0.23046873857404018	0.11791688312166011	0.5075787934186471	0.05657810943677022	
0.6200000000000002	0.45513418647166354	0.02358166909825726	0.3632760511882998	0.13456819214664678	0.3632760511882998	0.13456819214664678	0.44968921389396704	0.011609106215319472	0.5048760511882997	0.09725565103326735	0.19315685557586837	0.00565117013180224	0.5756124314442412	0.0556654028376935	0.5857608775137111	0.05830766860131455			0.5783327239488116	0.07181811407143845	0.42320146252285185	0.16138198738157777	0.23298720292504566	0.09769103915667023	0.5087546617915905	0.051519185070754966	
0.6400000000000002	0.45870127970749536	0.02227408409222991	0.3546160877513711	0.13304403526970018	0.3663444877195771	0.1375597671421635	0.44968921389396704	0.011609106215319472	0.4979875685557586	0.11905745091067481	0.19315685557586837	0.00565117013180224	0.5716329067641681	0.06459493033447512	0.6036402193784277	0.061656292494161075			0.5817199268738573	0.07094654431355762	0.42987495429616085	0.1575981352177034	0.23161828153564898	0.0894675077713119	0.500835100548446	0.06077873403084668	
0.6600000000000003	0.465580987202925	0.027319447321871908					0.44968921389396704	0.011609106215319472	0.47836197440585004	0.09684938003085301	0.19271809872029247	0.005573277187352211	0.5831722120658135	0.0570016046469885	0.5969974405850091	0.07433882153056061			0.5884197440585008	0.07543675343582483	0.4091787934186471	0.15947860415868606	0.24931334552102374	0.12265018072910737	0.5091934186471663	0.05644871785015195	
0.6800000000000003	0.4711751371115173	0.03374643705702418					0.44968921389396704	0.011609106215319472	0.5002734917733089	0.09980136122244972	0.19271809872029247	0.005573277187352211	0.5934786106032907	0.07318451500214497	0.5937857404021938	0.07363770144565196			0.5952775137111517	0.05850392348292407	0.41786617915904933	0.17332052908401965	0.2506866544789762	0.12301824354136809	0.4906998171846435	0.0640472016780814	
0.7000000000000003	0.47823473491773305	0.039766793925678307					0.44968921389396704	0.011609106215319472	0.460017550274223	0.12112415273535528	0.19271809872029247	0.005573277187352211	0.584343692870201	0.056911492222457914	0.6005031078610603	0.060726924111573294			0.581619012797075	0.06257749848957735	0.4205250457038391	0.14492991291896956	0.2564826325411334	0.09330800518732106	0.4888965265082267	0.052633100688980756	
0.7200000000000003	0.4830040219378427	0.02441163212325159					0.44968921389396704	0.011609106215319472	0.42782157221206574	0.12907384668990035	0.19271809872029247	0.005573277187352211	0.588871663619744	0.07006723068361308	0.5895648994515539	0.06687155343105422			0.5892884826325411	0.05795239349703108	0.41909469835466173	0.17531749512680464	0.27580109689213894	0.12763299847870882	0.4726844606946983	0.09024744583218729	
0.7400000000000003	0.48786106032906756	0.034682410038652946					0.44968921389396704	0.011609106215319472	0.4104511882998171	0.11334005052553173	0.19271809872029247	0.005573277187352211	0.586489213893967	0.05522589290978515	0.5940402193784277	0.0500191334639915			0.5807590493601462	0.06194513974659446	0.4116226691042047	0.15918700933826402	0.2732519195612431	0.10944170942896685	0.47379890310786105	0.07831196622839437	
0.7600000000000003	0.5145857404021937	0.051000460525905025					0.44968921389396704	0.011609106215319472	0.40754223034734915	0.12723787381564372	0.19271809872029247	0.005573277187352211	0.5820182815356489	0.061892311062884175	0.581798903107861	0.0596305077340176			0.5713170018281535	0.07372236383126302	0.4198449725776965	0.15571281194906886	0.3145652650822669	0.14185630589101006	0.4563363802559415	0.09292748776553486	
0.7800000000000004	0.5326186471663619	0.048371176079844605					0.44968921389396704	0.011609106215319472	0.3504117001828153	0.1292961266408263	0.19271809872029247	0.005573277187352211	0.5769594149908592	0.06928290437482497	0.5662010968921389	0.06513768618000025			0.5554822669104204	0.06502291050859915	0.4286464351005484	0.14803573934332245	0.30785228519195607	0.12671358299597693	0.4176819012797075	0.1098163659733885	
0.8000000000000004	0.5372519195612431	0.060479499334989265					0.44968921389396704	0.011609106215319472	0.3288775137111517	0.12027407298099713	0.19271809872029247	0.005573277187352211	0.5935312614259598	0.06614915093291814	0.5800087751371115	0.04884583692208354			0.5733396709323583	0.06455967797441235	0.4078976234003656	0.16305382199500812	0.31436782449725775	0.12938750515478342	0.38261645338208405	0.11031794724252998	
0.8200000000000004	0.5422581352833638	0.04584215181032035					0.44968921389396704	0.011609106215319472	0.29821279707495424	0.12534795601406018	0.19271809872029247	0.005573277187352211	0.5909031078610603	0.07839257848636219	0.5786179159049359	0.055089890262589085			0.5762837294332723	0.06429065580479625	0.4144789762340036	0.1295667904282945	0.3037586837294332	0.10718938918313979	0.3263283363802559	0.13644185967445985	
